id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
631,2016,Kolkata,22-05-2016,KKR,SH,SH,field,normal,0,KKR,22,0,YK Pathan,Eden Gardens,KN Ananthapadmanabhan,M Erasmus,
632,2016,Raipur,22-05-2016,DD,RCB,RCB,field,normal,0,RCB,0,6,V Kohli,Shaheed Veer Narayan Singh International Stadium,A Nand Kishore,BNJ Oxenford,
633,2016,Bangalore,24-05-2016,GL,RCB,RCB,field,normal,0,RCB,0,4,AB de Villiers,M Chinnaswamy Stadium,AK Chaudhary,HDPK Dharmasena,
634,2016,Delhi,25-05-2016,SH,KKR,KKR,field,normal,0,SH,22,0,MC Henriques,Feroz Shah Kotla,M Erasmus,C Shamshuddin,
635,2016,Delhi,27-05-2016,GL,SH,SH,field,normal,0,SH,0,4,DA Warner,Feroz Shah Kotla,M Erasmus,CK Nandan,
636,2016,Bangalore,29-05-2016,SH,RCB,SH,bat,normal,0,SH,8,0,BCJ Cutting,M Chinnaswamy Stadium,HDPK Dharmasena,BNJ Oxenford,
7894,2018,Mumbai,07-04-2018,MI,CSK,CSK,field,normal,0,CSK,0,1,DJ Bravo,Wankhede Stadium,Chris Gaffaney,A Nanda Kishore,Anil Chaudhary
7895,2018,Mohali,08-04-2018,DD,KXP,KXP,field,normal,0,KXP,0,6,KL Rahul,"Punjab Cricket Association IS Bindra Stadium, Mohali",Rod Tucker,K Ananthapadmanabhan,Nitin Menon
7896,2018,Kolkata,08-04-2018,RCB,KKR,KKR,field,normal,0,KKR,0,4,SP Narine,Eden Gardens,C Shamshuddin,A.D Deshmukh,S Ravi
7897,2018,Hyderabad,09-04-2018,RR,SH,SH,field,normal,0,SH,0,9,S Dhawan,"Rajiv Gandhi International Stadium, Uppal",Nigel Llong,Vineet Kulkarni,O Nandan
7898,2018,Chennai,10-04-2018,KKR,CSK,CSK,field,normal,0,CSK,0,5,SW Billings,"MA Chidambaram Stadium, Chepauk",Anil Chaudhary,Chris Gaffaney,A Nanda Kishore
7899,2018,Jaipur,11-04-2018,RR,DD,DD,field,normal,1,RR,10,0,SV Samson,Sawai Mansingh Stadium,K Ananthapadmanabhan,Rod Tucker,Nitin Menon
7900,2018,Hyderabad,12-04-2018,MI,SH,SH,field,normal,0,SH,0,1,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",O Nandan,Nigel Llong,Vineet Kulkarni
7901,2018,Bengaluru,13-04-2018,KXP,RCB,RCB,field,normal,0,RCB,0,4,UT Yadav,M Chinnaswamy Stadium,S Ravi,A.D Deshmukh,C Shamshuddin
7902,2018,Mumbai,14-04-2018,MI,DD,DD,field,normal,0,DD,0,7,JJ Roy,Wankhede Stadium,K Ananthapadmanabhan,Nitin Menon,Rod Tucker
7903,2018,Kolkata,14-04-2018,KKR,SH,SH,field,normal,0,SH,0,5,B Stanlake,Eden Gardens,A Nanda Kishore,Anil Chaudhary,Chris Gaffaney
7904,2018,Bengaluru,15-04-2018,RR,RCB,RCB,field,normal,0,RR,19,0,SV Samson,M Chinnaswamy Stadium,C Shamshuddin,S Ravi,A.D Deshmukh
7905,2018,Mohali,15-04-2018,KXP,CSK,CSK,field,normal,0,KXP,4,0,CH Gayle,"Punjab Cricket Association IS Bindra Stadium, Mohali",Vineet Kulkarni,O Nandan,Nigel Llong
